query_def_tech_label,top_def_tech_label,def_tactic_label,def_tactic_rel_label,def_tech_label,def_artifact_rel_label,def_artifact_label,off_artifact_label,off_artifact_rel_label,off_tech_label,off_tech_parent_label,off_tech_parent_is_toplevel,off_tactic_rel_label,off_tactic_label,def_tactic,def_tactic_rel,tactic_def_tech,def_tech,def_artifact_rel,def_artifact,off_artifact,off_artifact_rel,off_tech,off_tech_parent,off_tactic_rel,off_tactic
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Document File,Email,reads,Local Email Collection,Email Collection,false,enables,Collection,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#DocumentFile,http://d3fend.mitre.org/ontologies/d3fend.owl#Email,http://d3fend.mitre.org/ontologies/d3fend.owl#reads,http://d3fend.mitre.org/ontologies/d3fend.owl#T1114.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1114,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#Collection
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable File,may-add,Deobfuscate/Decode Files or Information,Defense Evasion Technique,true,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#may-add,http://d3fend.mitre.org/ontologies/d3fend.owl#T1140,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasionTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Script,interprets,XSL Script Processing,Defense Evasion Technique,true,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableScript,http://d3fend.mitre.org/ontologies/d3fend.owl#interprets,http://d3fend.mitre.org/ontologies/d3fend.owl#T1220,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasionTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Binary,modifies,Binary Padding,Obfuscated Files or Information,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableBinary,http://d3fend.mitre.org/ontologies/d3fend.owl#modifies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1027.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1027,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable File,obfuscates,Software Packing,Obfuscated Files or Information,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#obfuscates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1027.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1027,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable File,creates,Compile After Delivery,Obfuscated Files or Information,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#creates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1027.004,http://d3fend.mitre.org/ontologies/d3fend.owl#T1027,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Binary,creates,Invalid Code Signature,Masquerading,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableBinary,http://d3fend.mitre.org/ontologies/d3fend.owl#creates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1036.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1036,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable File,may-create,Rename System Utilities,Masquerading,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#may-create,http://d3fend.mitre.org/ontologies/d3fend.owl#T1036.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1036,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Binary,may-add,Thread Execution Hijacking,Process Injection,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableBinary,http://d3fend.mitre.org/ontologies/d3fend.owl#may-add,http://d3fend.mitre.org/ontologies/d3fend.owl#T1055.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1055,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Document File,Microsoft HTML Application,interprets,Mshta Execution,Signed Binary Proxy Execution,false,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#DocumentFile,http://d3fend.mitre.org/ontologies/d3fend.owl#MicrosoftHTMLApplication,http://d3fend.mitre.org/ontologies/d3fend.owl#interprets,http://d3fend.mitre.org/ontologies/d3fend.owl#T1218.005,http://d3fend.mitre.org/ontologies/d3fend.owl#T1218,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#DefenseEvasion
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Script,may-execute,System Network Configuration Discovery,Discovery Technique,true,enables,Discovery,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableScript,http://d3fend.mitre.org/ontologies/d3fend.owl#may-execute,http://d3fend.mitre.org/ontologies/d3fend.owl#T1016,http://d3fend.mitre.org/ontologies/d3fend.owl#DiscoveryTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#Discovery
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Script,executes,Command and Scripting Interpreter Execution,Execution Technique,true,enables,Execution,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableScript,http://d3fend.mitre.org/ontologies/d3fend.owl#executes,http://d3fend.mitre.org/ontologies/d3fend.owl#T1059,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutionTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#Execution
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Document File,Microsoft HTML Application,interprets,Mshta Execution,Signed Binary Proxy Execution,false,enables,Execution,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#DocumentFile,http://d3fend.mitre.org/ontologies/d3fend.owl#MicrosoftHTMLApplication,http://d3fend.mitre.org/ontologies/d3fend.owl#interprets,http://d3fend.mitre.org/ontologies/d3fend.owl#T1218.005,http://d3fend.mitre.org/ontologies/d3fend.owl#T1218,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#Execution
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Document File,Email,produces,Internal Spearphishing,Lateral Movement Technique,true,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#DocumentFile,http://d3fend.mitre.org/ontologies/d3fend.owl#Email,http://d3fend.mitre.org/ontologies/d3fend.owl#produces,http://d3fend.mitre.org/ontologies/d3fend.owl#T1534,http://d3fend.mitre.org/ontologies/d3fend.owl#LateralMovementTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#LateralMovement
Emulated File Analysis,File Analysis,Detect,enables,Emulated File Analysis,analyzes,Executable File,Executable Binary,may-add,Thread Execution Hijacking,Process Injection,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Detect,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,,http://d3fend.mitre.org/ontologies/d3fend.owl#EmulatedFileAnalysis,http://d3fend.mitre.org/ontologies/d3fend.owl#analyzes,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableFile,http://d3fend.mitre.org/ontologies/d3fend.owl#ExecutableBinary,http://d3fend.mitre.org/ontologies/d3fend.owl#may-add,http://d3fend.mitre.org/ontologies/d3fend.owl#T1055.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1055,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#PrivilegeEscalation
